be_neither_veri	0	1	2
would_not_stand	0	1	1
it_be_thu	0	1	1
isn't_even_the	0	1	2
cannot_wait	0	1	1
feel_no	0	1	1
isn't_exactli_clear	0	1	1
the_largest_illus	0	1	1
be_not_believ	0	1	1
cannot_assum	0	1	1
have_notic	0	1	1
posit_of_not	0	1	1
declar_illeg	0	1	2
would_not_pose	0	1	2
don't_think_there'	0	1	1
can_do_noth	0	1	2
be_not_toler	0	1	2
have_alwai_deni	0	1	1
given_the_death	0	1	2
li_with_the	0	1	2
either_the_absenc	0	1	2
don't_think_kellogg	0	1	1
but_pai	0	1	1
which_clearli	0	1	2
defiant_stanc	0	1	2
can_hardli_be	0	1	2
let_not_jump	0	1	2
don't_agre_with	0	1	1
an_unaccept	0	1	2
he_would_under	0	1	1
if_howev	0	1	2
but_nobodi_could	0	1	2
believ_zimbabwe'	0	1	2
contrari_to_all	0	1	1
be_not_right	0	1	1
consequ_if	0	1	2
made_virtual_no	0	1	1
aren't_well	0	1	2
don't_anticip_ani	0	1	1
understand_that_we	0	1	1
be_not_convinc	0	1	2
onc_again_turn	0	1	2
life_without	0	1	2
cluck_and	0	1	2
but_the_reserv	0	1	1
be_not_oper	0	1	1
controversi_and_debat	0	1	1
if_we_quit	0	1	1
believ_zimbabwe'_elect	0	1	2
will_not_last	0	1	1
person_opinion	0	1	1
not_too_cool	0	1	1
held_differ	0	1	2
aol_would_never	0	1	1
never_thought_a	0	1	1
cluck_and_shook	0	1	2
overtur_to_express	0	1	1
do_contempl_that	0	1	1
have_forbidden	0	1	1
cannot_imagin_that	0	1	1
be_inconsist	0	1	2
yet_rise	0	1	2
strongli_advis	0	1	1
don't_push	0	1	2
neither_do_we	0	1	1
don't_bother	0	1	1
until_all_those	0	1	1
no_longer_work	0	1	2
lack_credibl	0	1	2
clear_that_we	0	1	1
no_but_then	0	1	1
don't_believ_that	0	1	1
left_littl_doubt	0	1	1
feel_no_differ	0	1	1
there_realli_wasn't	0	1	1
be_declar_unoffici	0	1	1
no_peac	0	1	2
conclus_believ_that	0	1	2
wouldn't_have_the	0	1	1
certainli_be_not	0	1	2
cannot_steal_thi	0	1	2
be_not_activ	0	1	1
not_out_of	0	1	1
an_imposs_task	0	1	2
can't_be_buri	0	1	1
have_backpedal_from	0	1	1
will_not_free	0	1	1
i_obvious	0	1	1
an_imposs	0	1	2
cannot_be_reliev	0	1	2
with_the_demis	0	1	2
can't_be	0	1	2
they'r_never	0	1	1
sinc_when	0	1	1
no_isra_govern	0	1	1
subsequ_deni	0	1	1
nobodi_can_feel	0	1	2
strongli_object	0	1	2
remain_unconvinc	0	1	1
don't_agre	0	1	1
no_other_peopl	0	1	1
cannot_be_entir	0	1	1
doesn't_accept	0	1	1
don't_mean	0	1	1
have_disagre	0	1	2
can_never_remov	0	1	1
don't_anticip	0	1	1
no_other_outsid	0	1	1
the_fire_be	0	1	1
not_out	0	1	1
strongli_object_to	0	1	2
other_than_that	0	1	1
have_disallow	0	1	1
but_becaus_there	0	1	1
cluck	0	1	2
find_ourselv_unabl	0	1	2
be_a_twist	0	1	1
will_be_near	0	1	1
understand_that_our	0	1	1
mere_posit	0	1	1
disbeliev_press_corp	0	1	2
be_not_safe	0	1	1
realli_oh	0	1	1
it_be_unnecessari	0	1	1
cannot_possibl_avoid	0	1	1
be_not_meet	0	1	1
be_an_intern	0	1	1
isn't_even	0	1	2
have_admit_that	0	1	1
held_differ_view	0	1	2
be_not_dispatch	0	1	1
be_not_readi	0	1	2
but_the_warm	0	1	2
repeat_with	0	1	2
have_notic_that	0	1	1
therefor_be_not	0	1	1
consid_it_to	0	1	2
an_unaccept_degrad	0	1	2
disagr_be	0	1	2
defiant_stanc_on	0	1	2
describ_powell'	0	1	2
not_you_sir	0	1	1
have_turn_down	0	1	1
should_not_disregard	0	1	1
could_howev	0	1	2
you_dont	0	1	2
can_run_but	0	1	2
realiz_that_injustic	0	1	1
have_no_busi	0	1	1
deni_rig_the	0	1	1
do_not_attack	0	1	1
need_no	0	1	2
openli_took	0	1	2
do_anybodi_believ	0	1	1
distort_human	0	1	2
never_calm	0	1	1
the_myth_of	0	1	2
believ_that_indonesia	0	1	1
don't_accept	0	1	2
a_gross_misstat	0	1	4
distort_human_right	0	1	2
explicitli_stipul	0	1	1
prove_ineffect	0	1	2
you_dont_want	0	1	2
undeni	0	1	1
stanc_oppos_to	0	1	1
think_thi_plan	0	1	2
must_not_in	0	1	2
cannot_steal	0	1	2
deni_rig	0	1	1
yet_rise_temperatur	0	1	2
can_be_built	0	1	1
nor_will_mr	0	1	1
no_patriot	0	1	1
repeat_with_insist	0	1	2
haven't_said_that	0	1	1
no_on_no	0	1	1
aren't_well_understood	0	1	2
could_not_exclud	0	1	1
be_no_secret	0	1	1
unequivoc_deni	0	1	1
disagr_be_also	0	1	2
or_so_it	0	1	1
intens_legal	0	1	2
don't_believ_thei	0	1	1
the_incid_and	0	1	2
cannot_command_the	0	1	1
be_do_so	0	1	1
no_other_countri	0	1	1
consequ_if_our	0	1	2
do_contempl	0	1	1
you_probabl_don't	0	1	1
be_deem_not	0	1	2
reveal_that_hi	0	1	2
no_on_howev	0	1	1
you_would_never	0	1	1
if_we_don't	0	1	1
i_obvious_can't	0	1	1
have_not_brought	0	1	1
would_be_meaningless	0	1	2
what_be_realli	0	1	2
it_be_unpreced	0	1	2
who_care	0	1	1
have_no_option	0	1	1
mere_posit_of	0	1	1
cannot_possibl	0	1	1
vehement_deni	0	1	2
describ_powell'_statement	0	1	2
when_thei_aim	0	1	1
could_also_not	0	1	1
would_never_forget	0	1	2
should_have_have	0	1	1
cannot_last	0	1	2
by_now_it	0	1	1
allow_that_they'r	0	1	1
have_not_complet	0	1	1
aol_would	0	1	1
should_not_follow	0	1	2
but_pai_heed	0	1	1
person_opinion_be	0	1	1
made_virtual	0	1	1
no_patriot_palestinian	0	1	1
we_wouldn't_exist	0	1	1
but_separ	0	1	1
and_neither_do	0	1	1
openli_took_issu	0	1	2
a_row_over	0	1	1
not_my	0	1	1
even_if_iraq	0	1	1
the_claim_that	0	1	2
the_mexican_economi	0	1	1
have_plai_down	0	1	1
it_almost_do	0	1	1
disbeliev_press	0	1	2
don't_push_the	0	1	2
be_immedi_contest	0	1	1
the_unbeliev_provoc	0	1	1
they'r_never_go	0	1	1
let'_quit	0	1	1
cannot_last_long	0	1	1
solut_to_difficult	0	1	1
be_turn_down	0	1	1
ineffect_for	0	1	2
no_witch-hunt_will	0	1	2
should_not_toler	0	1	1
cannot_sai_it	0	1	1
not_my_problem	0	1	1
realli_oh_i	0	1	1
nor_even	0	1	1
no_peac_will	0	1	2
definit_cannot_be	0	1	1
judg_by_it	0	1	1
have_margin	0	1	1
cannot_command	0	1	1
explicitli_stipul_that	0	1	1
we_wouldn't	0	1	1
be_not_therefor	0	1	2
